t,G(t)
0.0,118.76479098034258
0.5,170.82481372018293
0.75,181.37104231979632
1.0,186.20658380867653
1.5,183.82792841162794
2.0,173.52863152756933
2.5,160.97699506542455
3.0,148.73933852122263
4.0,132.5220557909743
6.0,120.86973615115204
