t,G(t)
0.0,95.49834799492024
0.5,156.58813429908716
0.75,176.04834652299928
1.0,184.8604614799735
1.5,189.04255072911005
2.0,179.72248799676393
2.5,165.27205373896234
3.0,150.35729330657682
4.0,123.73761311677534
6.0,101.0266474916165
