t,G(t)
0.0,91.72755333330262
0.5,144.65111784166695
0.75,159.86931329131397
1.0,166.1556161508026
1.5,167.9910022657495
2.0,161.48364682304913
2.5,148.92438043972692
3.0,136.35424167476933
4.0,117.08308688755741
6.0,98.20685174443277
