t,G(t)
0.0,98.59369758920377
0.5,169.67209373637667
0.75,195.78018599408722
1.0,217.28741889723563
1.5,239.1635217510493
2.0,244.04173873271208
2.5,238.18875987256652
3.0,224.56852726266644
4.0,190.5002987306065
6.0,138.4567755039117
