t,G(t)
0.0,94.58029590756894
0.5,179.48736672197165
0.75,217.67084566876954
1.0,247.72077932939183
1.5,291.8890597624758
2.0,308.93645829711915
2.5,310.3383749522012
3.0,299.512137579744
4.0,260.8210513100218
6.0,180.08223183103993
