t,G(t)
0.0,109.58818849746035
0.5,209.37667410925536
0.75,266.6902927554717
1.0,323.7445305243535
1.5,425.2767025552471
2.0,500.4231286603162
2.5,551.0489303040761
3.0,574.6556780337935
4.0,561.2912659804228
6.0,388.67388254401084
